name,description,workout
Incline DB Press,All time favourite,Push day
Shoulder Press,,Push day
Chest Fly,,Push day
Overhead Tricep Extension,,Push day
Lateral Raise,,Push day
Tricep Pushdown,,Push day
Pulldown,,Pull day
Bent Over Row,Squeeze that triangle,Pull day
DB Bicep Curl,Juicy,Pull day
Pullup,If you can,Pull day
Hammer Curl,Hammer time,Pull day
Cable Row,,Pull day
Cable Curl,,Pull day
Stair Master Warmup,For the knees,Leg day
Hip Flexor Press,For the hips,Leg day
Squat,A to the G,Leg day
Single Leg Press,Focused on the glutes,Leg day
Calf Raise,Never skip em,Leg day
Quad Extension,,Leg day
Hamstring Curl,,Leg day
BB Bicep Curl,,Arm day
Skull Crusher,,Arm day
Bench Press,,Chest and Back
Box Jump,,Plyometrics
Split Squat,Also known as Bulgarians,Plyometrics